driver_id,time,latitude,longitude
122,2014-02-01 00:00:51.318824+01,41.919267649,12.49813943
105,2014-02-01 00:00:51.364909+01,41.897143561,12.47295309
362,2014-02-01 00:00:51.389548+01,41.910199341,12.477001647
352,2014-02-01 00:00:51.978913+01,41.897837687,12.469430622
188,2014-02-01 00:00:52.01395+01,41.921909639,12.486458931
172,2014-02-01 00:00:52.47324+01,41.918474546,12.500689588
318,2014-02-01 00:00:52.738236+01,41.885874513,12.470358789
321,2014-02-01 00:00:52.860301+01,41.89724633,12.47285075
295,2014-02-01 00:00:53.509006+01,41.89578956,12.471920421
368,2014-02-01 00:00:53.907094+01,41.891668333,12.47466
197,2014-02-01 00:00:54.208797+01,41.884861233,12.47064281
232,2014-02-01 00:00:54.533571+01,41.906193771,12.481757366
259,2014-02-01 00:00:54.651828+01,41.852297273,12.597175116
135,2014-02-01 00:00:54.664429+01,41.933189952,12.511784705
298,2014-02-01 00:00:54.899051+01,41.893598791,12.470233692
317,2014-02-01 00:00:55.40642+01,41.900394544,12.473058219
132,2014-02-01 00:00:55.740898+01,41.859677401,12.478349317
248,2014-02-01 00:00:55.750244+01,41.895901992,12.476881887
234,2014-02-01 00:00:55.957279+01,41.897747095,12.469314031
2,2014-02-01 00:00:56.451894+01,41.909039503,12.507911463
281,2014-02-01 00:00:56.53966+01,41.896032853,12.479218413
341,2014-02-01 00:00:56.919029+01,41.90986872,12.476281481
104,2014-02-01 00:00:56.937749+01,41.788322076,12.250976501
224,2014-02-01 00:00:57.308498+01,41.9662668,12.45454732
257,2014-02-01 00:00:57.346409+01,41.921835197,12.490794163
315,2014-02-01 00:00:57.469249+01,41.899763916,12.464058224
37,2014-02-01 00:00:57.632479+01,41.897263912,12.470903332
178,2014-02-01 00:00:58.065034+01,41.92078174,12.480182181
58,2014-02-01 00:00:58.071073+01,41.914531074,12.508836
53,2014-02-01 00:00:58.090535+01,41.889666441,12.503322574
61,2014-02-01 00:00:58.369098+01,41.900311667,12.472738333
291,2014-02-01 00:00:58.380325+01,41.856401021,12.492667779
174,2014-02-01 00:00:58.393341+01,41.889812822,12.474507041
365,2014-02-01 00:00:58.415523+01,41.894958272,12.479802399
94,2014-02-01 00:00:58.511189+01,41.928371483,12.481746351
228,2014-02-01 00:00:58.561172+01,41.897221955,12.472774218
357,2014-02-01 00:00:59.570089+01,41.838892272,12.473802674
156,2014-02-01 00:01:00.33555+01,41.881729846,12.493070092
89,2014-02-01 00:01:00.983359+01,41.800165882,12.442443864
297,2014-02-01 00:01:01.019002+01,41.893000417,12.48765146
187,2014-02-01 00:01:01.11743+01,41.923785,12.470951667
191,2014-02-01 00:01:01.760397+01,41.851929343,12.578744386
343,2014-02-01 00:01:01.967554+01,41.892180091,12.469702424
260,2014-02-01 00:01:03.011216+01,41.864347304,12.464742284
79,2014-02-01 00:01:03.296617+01,41.8998513,12.46186503
122,2014-02-01 00:01:03.797876+01,41.918420182,12.497247945
58,2014-02-01 00:01:04.761441+01,41.913418777,12.507233644
59,2014-02-01 00:01:04.907325+01,41.90176097,12.481384948
196,2014-02-01 00:01:05.130702+01,41.892229824,12.469779213
351,2014-02-01 00:01:05.147564+01,41.910050823,12.496609213
311,2014-02-01 00:01:05.46453+01,41.905455048,12.488093657
362,2014-02-01 00:01:05.908629+01,41.910274875,12.476920956
172,2014-02-01 00:01:06.048264+01,41.918024382,12.499926367
352,2014-02-01 00:01:06.522306+01,41.897836095,12.469434813
105,2014-02-01 00:01:06.690564+01,41.897143561,12.47295309
188,2014-02-01 00:01:06.849288+01,41.92179973,12.486384269
318,2014-02-01 00:01:07.378448+01,41.885935615,12.469724427
361,2014-02-01 00:01:07.639025+01,41.928297943,12.482052762
361,2014-02-01 00:01:08.260046+01,41.896852017,12.485313071
321,2014-02-01 00:01:08.270941+01,41.89720439,12.47282016
317,2014-02-01 00:01:08.492119+01,41.900394544,12.473058219
295,2014-02-01 00:01:08.807171+01,41.895913159,12.472099849
368,2014-02-01 00:01:09.080429+01,41.892883333,12.475258333
197,2014-02-01 00:01:09.201632+01,41.884861233,12.47064281
259,2014-02-01 00:01:09.291296+01,41.856354948,12.59838035
232,2014-02-01 00:01:09.451211+01,41.907205209,12.480564186
298,2014-02-01 00:01:09.506246+01,41.89500079,12.468370898
135,2014-02-01 00:01:09.645753+01,41.933189952,12.511784705
2,2014-02-01 00:01:09.895936+01,41.909039503,12.507911463
132,2014-02-01 00:01:10.728997+01,41.860999088,12.478239357
104,2014-02-01 00:01:10.953717+01,41.78667444,12.251234845
357,2014-02-01 00:01:11.327151+01,41.841306831,12.475069023
361,2014-02-01 00:01:11.456181+01,41.896852017,12.485313071
234,2014-02-01 00:01:11.590266+01,41.897747095,12.469314031
341,2014-02-01 00:01:11.834967+01,41.908488273,12.476133855
315,2014-02-01 00:01:11.886296+01,41.899763916,12.464058224
281,2014-02-01 00:01:11.924706+01,41.89599649,12.477287409
224,2014-02-01 00:01:12.15029+01,41.96644759,12.45358843
257,2014-02-01 00:01:12.279518+01,41.921078444,12.491542544
37,2014-02-01 00:01:12.554431+01,41.896816196,12.472962681
53,2014-02-01 00:01:12.800453+01,41.889666441,12.503322574
174,2014-02-01 00:01:13.321924+01,41.889812822,12.474507041
248,2014-02-01 00:01:13.407559+01,41.895901992,12.476881887
365,2014-02-01 00:01:13.418515+01,41.894392991,12.480981128
61,2014-02-01 00:01:13.491678+01,41.900311667,12.472738333
178,2014-02-01 00:01:13.52208+01,41.919825979,12.479216049
